Feature,Weight
bias,0.009621675689606637
Inches,0.03793416661626901
Cpu,0.13335363890307902
Ram,0.28654136596168994
Weight,0.1560444426916233
touch,0.0016191718686188793
px_width,0.04532385210930414
px_height,0.04798061086211475
ips_panel,-0.00862717930718542
4k,0.05134952185358687
hd,-0.009724966739411613
SSD,0.23429398618775316
HDD,-0.010282161913778273
FLASH,0.02032965097173714
gpu_entry,0.06562416787870708
OpSys_Chrome OS,0.0
OpSys_Linux,-0.02443289896628242
OpSys_Mac OS X,0.0
OpSys_No OS,-0.05422345309231261
OpSys_Windows 10,0.0006549491018334341
OpSys_Windows 10 S,0.010451419917729922
OpSys_Windows 7,0.08990430645632164
OpSys_macOS,0.0
Type_Gaming,0.0025824651177217104
Type_Netbook,0.0
Type_Notebook,-0.07546828723008098
Type_Ultrabook,0.03292847709391688
Type_Workstation,0.12226108927786762
