Feature,Weight
bias,0.008328400133106767
Inches,-0.0
Cpu,0.1280653915515185
Ram,0.30139746374226084
Weight,0.06794645237760528
touch,0.02055773984348672
px_width,0.07702545924091364
px_height,0.08187624435284938
ips_panel,0.007479799825525346
4k,0.002062113856738738
hd,-0.006112944044053545
SSD,0.22960084520371232
HDD,-0.0186245437695796
FLASH,0.0017750666713731533
gpu_entry,0.006493647503417197
OpSys_Chrome OS,-0.019421078975013256
OpSys_Linux,-0.03405831790765309
OpSys_Mac OS X,0.013781461624358246
OpSys_No OS,-0.05909349618446136
OpSys_Windows 10,-0.0
OpSys_Windows 10 S,0.00460589787046786
OpSys_Windows 7,0.10341071114150409
OpSys_macOS,0.028466732523634526
Type_Gaming,0.010204119344110219
Type_Netbook,-0.009315772301389493
Type_Notebook,-0.11537752313306174
Type_Ultrabook,0.06872454506753574
Type_Workstation,0.11286885266783941
